,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.95,axial,,6.46875,1.0,0.25,,4.6209869384765625,3.4365234375,,,1.0,,1000.0,,10.981769206622369,9.227714538574219,12.77663803100586,axial_mmed1000_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,5.390625,1.0,0.25,,3.7323760986328125,2.7374267578125,,,1.0,,1000.0,,9.682056454636578,7.950990200042725,11.288666725158691,axial_mmed1000_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,9.75,1.0,0.25,,6.9649658203125,5.1796875,,,300.0,,1000.0,,16.059981501780804,13.908439636230469,19.25754165649414,axial_mmed1000_mdm300_gq0p25_gdm1p0,
0,0.9,axial,,8.125,1.0,0.25,,5.6256103515625,4.1259765625,,,300.0,,1000.0,,14.119804965657238,11.945509910583496,16.988420486450195,axial_mmed1000_mdm300_gq0p25_gdm1p0,
0,0.95,axial,,18.90625,1.0,0.25,,13.505783081054688,10.0439453125,,,400.0,,1000.0,,32.24143877861331,26.969890594482422,37.34234619140625,axial_mmed1000_mdm400_gq0p25_gdm1p0,
0,0.9,axial,,15.749999999999998,1.0,0.25,,10.905029296875,7.998046875,,,400.0,,1000.0,,28.38560268577516,23.155912399291992,32.931400299072266,axial_mmed1000_mdm400_gq0p25_gdm1p0,
0,0.95,axial,,1757.0,1.0,0.25,,1248.688232421875,933.40625,,,600.0,,1000.0,,3075.013839158062,2520.37890625,3501.6044921875,axial_mmed1000_mdm600_gq0p25_gdm1p0,
0,0.9,axial,,1460.0,1.0,0.25,,1010.87890625,741.40625,,,600.0,,1000.0,,2707.1480720588843,2160.38525390625,3095.568603515625,axial_mmed1000_mdm600_gq0p25_gdm1p0,
0,0.95,axial,,44.75,1.0,0.25,,32.07392883300781,23.9482421875,,,100.0,,100.0,,71.8093398405909,63.30104446411133,86.61248016357422,axial_mmed100_mdm100_gq0p25_gdm1p0,
0,0.9,axial,,37.375,1.0,0.25,,25.8778076171875,18.9794921875,,,100.0,,100.0,,63.302778670613996,54.59431076049805,76.75293731689453,axial_mmed100_mdm100_gq0p25_gdm1p0,
0,0.95,axial,,92.25,1.0,0.25,,65.78386688232422,49.3681640625,,,150.0,,100.0,,138.42982570847153,130.85980224609375,179.38204956054688,axial_mmed100_mdm150_gq0p25_gdm1p0,
0,0.9,axial,,76.875,1.0,0.25,,53.2269287109375,39.0380859375,,,150.0,,100.0,,121.09478811628114,113.02290344238281,158.96942138671875,axial_mmed100_mdm150_gq0p25_gdm1p0,
0,0.95,axial,,0.587890625,1.0,0.25,,0.4227616786956787,0.3169097900390625,,,1.0,,100.0,,0.8994668535742758,0.8245697021484375,1.114258050918579,axial_mmed100_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,0.49218749999999994,1.0,0.25,,0.34267473220825195,0.24993896484375,,,1.0,,100.0,,0.785392155675515,0.7142713665962219,0.9960585236549377,axial_mmed100_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,162.5,1.0,0.25,,116.082763671875,86.328125,,,200.0,,100.0,,268.7530546294626,230.51185607910156,318.0442199707031,axial_mmed100_mdm200_gq0p25_gdm1p0,
0,0.9,axial,,135.0,1.0,0.25,,93.4716796875,68.5546875,,,200.0,,100.0,,236.9411168709604,198.479248046875,281.2347106933594,axial_mmed100_mdm200_gq0p25_gdm1p0,
0,0.95,axial,,0.8359375,1.0,0.25,,0.6011362075805664,0.45062255859375,,,30.0,,100.0,,1.3314160966482993,1.1724778413772583,1.5843935012817383,axial_mmed100_mdm30_gq0p25_gdm1p0,
0,0.9,axial,,0.69921875,1.0,0.25,,0.4868156909942627,0.355072021484375,,,30.0,,100.0,,1.1696566700604325,1.0180399417877197,1.4227932691574097,axial_mmed100_mdm30_gq0p25_gdm1p0,
